Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
450,"Former president of Trump Marks LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
451,"Former director/president of Trump Marks Magazine Corp. The company was reportedly dissolved on Nov. 9, 2016. ",Donald Trump,Trump Marks Magazine Corp. ,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
452,"Former president/member of Trump Marks Magazine LLC. The company was reportedly dissolved on Nov. 9, 2016. ",Donald Trump,Trump Marks Magazine LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
453,"Former president/member of Trump Marks Mattress LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Mattress LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
454,"Former director/chairman/president of Trump Marks Mattress Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Mattress Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
455,"Former president/member of Trump Marks Menswear LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Menswear LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
456,"Former director/president of Trump Marks Menswear Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Menswear Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
457,"Former director/president of the now-dormant or inactive Trump Marks Mortgage Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Mortgage Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
458,"Former president/member of the now-dormant or inactive Trump Marks Mtg LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Mtg LLC ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
459,"Former member/president of the now-dormant or inactive Trump Marks Mumbai LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Mumbai LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
460,"Former president/director/chairman of the now-dormant or inactive Trump Marks Mumbai Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Mumbai Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
461,Former director/president of Trump Marks New Orleans Corp. (resigned 2014). The company's current activity status and ownership structure are not disclosed.,Donald Trump,Trump Marks New Orleans Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
462,Former president/member of Trump Marks New Orleans LLC (resigned 2014). The company's current activity status and ownership structure are not disclosed.,Donald Trump,Trump Marks New Orleans LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
463,"Former director/president of Trump Marks New Rochelle Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks New Rochelle Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
464,"Former president/member of Trump Marks New Rochelle LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks New Rochelle LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
465,"Former director/president of the now-dormant or inactive Trump Marks Palm Beach Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Palm Beach Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
466,"Former president/member of the now-dormant or inactive Trump Marks Palm Beach LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Palm Beach LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
467,"Former director/president of Trump Marks Panama Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Panama Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
468,"Former president/member of Trump Marks Panama LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Panama LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
469,"Former director/president of the now-dormant or inactive Trump Marks Philadelphia Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Philadelphia Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
470,"Former president/member of the now-dormant or inactive Trump Marks Philadelphia LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Philadelphia LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
471,"Former director/president of Trump Marks Philippines Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Philippines Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
472,"Former president/member of Trump Marks Philippines LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Philippines LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
473,"Former president/member of Trump Marks Products LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Products LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
474,"Former president/director/chairman of Trump Marks Products Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Products Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
475,"Former member/president of the now-dormant or inactive Trump Marks Puerto Rico I LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Puerto Rico I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
476,"Former president/director/chairman of the now-dormant or inactive Trump Marks Puerto Rico I Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Puerto Rico I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
477,"Former president/member of Trump Marks Puerto Rico II LLC. The company, owned by Trump, was reportedly dissolved on Nov. 9, 2016. ",Donald Trump,Trump Marks Puerto Rico II LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
478,"Former president/chairman/director of Trump Marks Puerto Rico II Member Corp. The company, owned by Trump, was reportedly dissolved on Nov. 10, 2016. ",Donald Trump,Trump Marks Puerto Rico II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
479,"Former president/member of Trump Marks Punta del Este LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Punta del Este LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
480,"Former president/chairman/director of Trump Marks Punta del Este Manager Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Punta del Este Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
481,"Former president/member of Trump Marks Real Estate LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,Trump Marks Real Estate LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
482,"Former president/chairman/director of Trump Marks SOHO License Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks SOHO License Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
483,"Former president/member of Trump Marks SOHO LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks SOHO LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
484,Former president/member of Trump Marks South Africa LLC (resigned 2014). The company's currenct activity status and ownership structure are not disclosed. ,Donald Trump,Trump Marks South Africa LLC ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
485,Former member of Trump Marks South Africa Member Corp. (resigned 2014). The company's currenct activity status and ownership structure are not disclosed. ,Donald Trump,Trump Marks South Africa Member Corp. ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
486,"Former director/president of Trump Marks Stamford Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Stamford Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
487,"Former president/member of Trump Marks Stamford LLC, in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Stamford LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
488,"Former president/member of Trump Marks Sunny Isles I Member Corp., in which Pres. Trump retains ownership interests. ",Donald Trump,Trump Marks Sunny Isles I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
489,"Former director/president of Trump Marks Sunny Isles I LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Trump Marks Sunny Isles I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
490,"Former president/member of Trump Marks Sunny Isles II Member Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Sunny Isles II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
491,"Former director/president of Trump Marks Sunny Isles II LLC, in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. ",Donald Trump,Trump Marks Sunny Isles II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
