description,familyMember,conflictingEntity,category,notes,dateChanged
"Ivanka Trump served as Executive Vice President &amp; Secretary of TW VENTURE I MANAGING MEMBER CORP (pass-thru company for TW VENTURE I LLC (transportation services)) from Nov 1, 2013, until Jan 1, 2017.",Ivanka Trump,"Tw Venture I Managing Member Corp (Pass-Thru Company For Tw Venture I LLC (Transportation Services))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President of TW VENTURE II LLC (pass-thru company for TIGL Ireland Enterprises Limited (golf course and resort)) from Jan 1, 2014, until Jan 1, 2017.",Ivanka Trump,"Tw Venture Ii LLC (Pass-Thru Company For Tigl Ireland Enterprises Limited (Golf Course And Resort))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump served as Executive Vice President &amp; Director of TW VENTURE II MANAGING MEMBER CORP (pass-thru company for TW VENTURE II LLC (pass-thru company for TIGL Ireland Enterprises Limited (golf course and resort))) from Jan 1, 2014, until Jan 1, 2017.",Ivanka Trump,"Tw Venture Ii Managing Member Corp (Pass-Thru Company For Tw Venture Ii LLC (Pass-Thru Company For Tigl Ireland Enterprises Limited (Golf Course And Resort)))",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #1 (checking) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #1 (Checking)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #10 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #10 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #11 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #11 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #12 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #12 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #13 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #13 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #2 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #2 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #3 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #3 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #4 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #4 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #5 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #5 (Cash)",Active, "",09/18/2017
"Ivanka Trump received $201 - $1,000 in Interest income from U.S. bank account #6 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #6 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #7 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #7 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #8 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #8 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. bank account #9 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Bank Account #9 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. money market account #1 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Money Market Account #1 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. money market account #2 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Money Market Account #2 (Cash)",Active, "",09/18/2017
"Ivanka Trump received $201 - $1,000 in Interest income from U.S. money market account #3 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Money Market Account #3 (Cash)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from U.S. money market account #4 (cash) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"U.S. Money Market Account #4 (Cash)",Active, "",09/18/2017
"Ivanka Trump served as Vice President of UNIT 2502 ENTERPRISES LLC (commercial real estate in Chicago, IL) from Jul 1, 2008, until Jan 1, 2017.",Ivanka Trump,"Unit 2502 Enterprises LLC (Commercial Real Estate In Chicago, Il)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump received $1,001 - $2,500 in Capital Gains Interest income from UNIV OF TEXAS TX PERMANENT UNIV FND SER B, bonds the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Univ Of Texas Tx Permanent Univ Fnd Ser B, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Ivanka Trump lists Universal City Studios LLC (Residuals from appearances on Saturday Night Live and Late Night with Jimmy Fallon) as an employment-related asset valued at None (or less than $1,001). In the year before taking her unpaid position as assistant to her father in his presidency, she earned $201 - $1,000 in Rent or Royalties income.",Ivanka Trump,"Universal City Studios LLC (Residuals From Appearances On Saturday Night Live And Late Night With Jimmy Fallon)",Active, "",09/18/2017
"Ivanka Trump received $1,001 - $2,500 in Interest income from UTAH ST RFDG SER C, bonds the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Utah St Rfdg Ser C, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Ivanka Trump received $1,001 - $2,500 in Interest income from UTAH ST SER A, bonds the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Utah St Ser A, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Ivanka Trump owes $5,000,001 - $25,000,000 in revolving debt to Valley National Bank. The Unsecured line of credit was incurred in 2015 at a rate of PRIME+0.75%.",Ivanka Trump,"Valley National Bank",Active, "",09/18/2017
"Ivanka Trump received $15,001 - $50,000 in (income type not disclosed) income from VAN ECK CM COMMODITY INDEX FUND Y (CMCYX) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Van Eck Cm Commodity Index Fund Y (Cmcyx)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from VANGUARD TOTAL BOND MKT ETF (BND) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Vanguard Total Bond Mkt Etf (Bnd)",Active, "",09/18/2017
"Ivanka Trump served as Executive Vice President of VHPS LLC (unsold lots) from Apr 1, 2010, until Jan 1, 2017.",Ivanka Trump,"Vhps LLC (Unsold Lots)",Resolved, "Because Ivanka Trump has resigned her positions with this entity, which is not otherwise disclosed as an asset, this potential conflict of interest is marked as resolved.",09/18/2017
"Ivanka Trump received $100,001 - $1,000,000 in Rent or Royalties income from VILLAGE KF 2 KM, LLC (Residential Real Estate in New York, NY) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Village Kf 2 Km, LLC (Residential Real Estate In New York, NY)",Active, "",09/18/2017
"Ivanka Trump received $100,001 - $1,000,000 in Rent or Royalties income from VILLAGE KF 4-9-10 ASSOCIATES, LP (Residential Real Estate in New York, NY) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Village Kf 4-9-10 Associates, Lp (Residential Real Estate In New York, NY)",Active, "",09/18/2017
"Ivanka Trump received $1,001 - $2,500 in Interest income from VIRGINIA BEACH VA, bonds the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Virginia Beach VA, Bonds",Resolved, "This asset has been divested. Its underlying assets are not disclosed due to preexisting confidentiality agreements.",09/18/2017
"Ivanka Trump received $1,001 - $2,500 in Interest income from VIRGINIA ST, bonds the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Virginia St, Bonds",Resolved, "This asset has been divested. Its underlying assets are not disclosed due to preexisting confidentiality agreements.",09/18/2017
"Ivanka Trump received $5,001 - $15,000 in (income type not disclosed) income from VIRTUS SMALL-CAP CORE FUND CLASS I (PKSFX) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Virtus Small-Cap Core Fund Class I (Pksfx)",Active, "",09/18/2017
"Ivanka Trump received $100,001 - $1,000,000 in Rent or Royalties income from VREELAND AVENUE ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Vreeland Avenue Associates, LLC (Commercial Real Estate In Florham Park, NJ)",Active, "",09/18/2017
"Ivanka Trump received $2,501 - $5,000 in Rent or Royalties income from WARREN AT BAY ASSOCIATES, LLC (Commercial Real Estate in Jersey City, NJ) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Warren At Bay Associates, LLC (Commercial Real Estate In Jersey City, NJ)",Active, "",09/18/2017
"Ivanka Trump received $1,001 - $2,500 in Interest income from WELLS FARGO COMPANY, bonds the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Wells Fargo Company, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Ivanka Trump received $15,001 - $50,000 in (income type not disclosed) income from WELLS FARGO INTERMEDIATE TAX/AMTFREE FUND CLASS INST (WITIX) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Wells Fargo Intermediate Tax/Amtfree Fund Class Inst (Witix)",Active, "",09/18/2017
"Ivanka Trump received None (or less than $201) in (income type not disclosed) income from Wells Fargo Special Small Cap Value (ESPNX) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Wells Fargo Special Small Cap VAlue (Espnx)",Active, "",09/18/2017
"Ivanka Trump received $15,001 - $50,000 in Rent or Royalties income from WEST END BUILDING ASSOCIATES, LLC (Residential Real Estate in New York, NY) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"West End Building Associates, LLC (Residential Real Estate In New York, NY)",Active, "",09/18/2017
"Ivanka Trump received $1,001 - $2,500 in Interest income from WESTCHESTER CNTY NY, bonds the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Westchester Cnty NY, Bonds",Resolved, "This asset has been divested.",09/18/2017
"Ivanka Trump received $5,001 - $15,000 in Rent or Royalties income from WESTFIELD JV (Commercial Real Estate in Westfield, NJ) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Westfield Jv (Commercial Real Estate In Westfield, NJ)",Active, "",09/18/2017
"Ivanka Trump received $15,001 - $50,000 in Rent or Royalties income from WESTMIN MAD ASSOCIATES, L.L.C.(Commercial Real Estate in New York, NY) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Westmin Mad Associates, L.L.C.(Commercial Real Estate In New York, NY)",Active, "",09/18/2017
"Ivanka Trump received $15,001 - $50,000 in Rent or Royalties income from WESTMINSTER LINDEN, LLC (Residential Real Estate in Brooklyn, NY) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Westminster Linden, LLC (Residential Real Estate In Brooklyn, NY)",Active, "",09/18/2017
"Ivanka Trump received 157947 in Brokerage commissions income from WESTMINSTER TITLE ASSOCIATES, LLC (Insurance brokerage license; Florham Park, NJ) the year before her appointment as her father&#39;s presidential adviser.",Ivanka Trump,"Westminster Title Associates, LLC (Insurance Brokerage License; Florham Park, NJ)",Resolved, "This asset has been divested.",09/18/2017
